"results_author","results_date","results_des","results_img","results_title","results_url"
"大洋网","4月4日","​当地时间4月4日,印度尼西亚国家灾害管理局在一份声明中说,印尼中部东努沙登加拉省奈来村(Nele Lamadike)发生山洪和山体滑坡,造成至少20人死亡,另有5人失踪。","https://dss1.bdstatic.com/6OF1bjeh1BF3odCf/it/u=1946541550,1365773034&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=C07185744DD06FE95340F2D60300A0B7&sec=1618986670&t=9ad71d8efbc25173bcffc99116f8f830","印尼中部地区发生山洪和山体滑坡 致20人死亡5人失踪","https://news.dayoo.com/world/202104/04/139998_53860593.htm"
"大洋网","4月4日","4日上午,印尼东努沙登加拉省(简称东努省)弗洛雷斯岛遭遇暴雨并引发山洪及山体滑坡。至晚间记者发稿时,山洪及山体滑坡造成的遇难人数已升至54人。 2021-04-04 23:45 保加利亚举行议会选举 保加利亚4日举行议会选举,包括执政党保公民党在...","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=2303520203,1296253975&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=D5D47884040181430C25F8920300D089&sec=1618986670&t=739acb08b7044353ba45b29ee3710ef8","交通运输部:清明假期首日全国共发送旅客5143.4万人次","http://news.dayoo.com/society/202104/04/140000_53860518.htm?from=timeline"
"腾讯网","4月2日","例如山体滑坡、水库溃堤、堰塞湖泄漏崩塌等,在搭建临时避震场所时,必须远离这些区域。二是要防范危房进一步破坏伤人。主震后余震持续不断,在专业部门尚未对房屋进行安全鉴定之前,即使自家房屋尚未倒塌,震后也不要贸然进入或居住。","NoPicture","广东河源市发生3.7级地震,广州、深圳等地震感明显!你感受到了吗?","https://xw.qq.com/amphtml/20210402A0EAC200"
"华夏经纬网","4月2日","广州市三防办提醒,该市今年前汛期“龙舟水”仍偏重,发生阶段性、局地性洪涝灾害的风险仍然较高,需做好防范局地洪水、城市内涝及强降水引发山体滑坡、泥石流、山洪等次生灾害的准备。 此外,预计今年影响广州的台风偏多,要注意做好台风...","NoPicture","汛期将至:广州预计今年“龙舟水”偏强 高温日偏多","http://www.huaxia.com/gdtb/gdyw/mttt/2021/04/6662682.html"
"澎湃新闻","3月30日","打开APP 云南镇雄县山体滑坡致2人死亡1人受伤 打开APP 纸瓶里面是塑料瓶,韩化妆品品牌悦诗风吟陷“漂绿”风波 打开APP 剧本杀市场盗版乱象:1分钱可买一个剧本,维权成本高 打开APP 关于澎湃 | 联系我们 | 版权声明 | 澎湃广告  ...","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=1197554272,528180727&fm=217&app=2&size=f242,162&n=0&g=0n&f=JPEG?s=EEF83AD44E63750104AF04600300E076&sec=1618986670&t=8d509240e3f86ad99d5d625d3ce61721","广州这个800年古村落要变样!效果图曝光↘","http://www.thepaper.cn/newsDetail_forward_11956740"
"广州日报","3月27日","3月27日上午10点半,杭州桐庐县百江镇郭村附近,突发山体滑坡。不过,幸好自然资源部门及时有效处置,成功避免人员伤亡。据介绍,当天上午9点,桐庐县自然资源主管部门接到报警后,有关负责人立即会同驻县进乡的省第七地质大队专业技术人员赶赴...","https://dss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=1925154764,138522481&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=0889AB55476BD54718BCC55903004073&sec=1618986670&t=5069e35926aa4d499895f03cbf009234","杭州桐庐突发山体滑坡!处置及时无人员伤亡","https://baijiahao.baidu.com/s?id=1695378576010053070&wfr=spider&for=pc"
"遥望山水","3月19日","这样的滚石挡路,实属罕见。山体滑坡和巨大的滚石完全挡住了车队的去路队友们纷纷拿出自带的铁锹铲子,试图开通滚石滑坡路段。滚石太大太多,仅靠人力难以清除,车队的行程再次受阻。未完待续,希望大家留言评论!","https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2456501785,137855323&fm=30&app=106&size=f242,162&n=0&g=0n&f=JPEG?s=1F1223C0020B0B474C81753C0300E050&sec=1618986670&t=239b11e9b67f9130b420d316160144a6","《特种旅游》系列之二:进入高危路段","https://baijiahao.baidu.com/s?id=1694641281363159314&wfr=spider&for=pc"
"广州日报","3月6日","据悉,该路段边坡多为山体,在持续降雨或强降雨天气时可能会出现山体滑坡、塌方的情况,过往司机要注意观察,留意前方路况,控制好车速,雨天行车尽可能选择绕行乐广高速公路。为保障行车安全和道路畅通,交警联合路政、清障部门及时对道路进行了...","https://cambrian-images.cdn.bcebos.com/5242633ac0491ede9e92dbdab955042c_1574612761312138.jpeg@w_100,h_100","突发!成吨山石滚落!京港澳高速韶关段广州方向临时封闭","https://baijiahao.baidu.com/s?id=1693452023155247465&wfr=spider&for=pc"
"大洋网","1月2日","据菲律宾媒体当地时间1月2日消息,菲律宾民防部门证实,在菲律宾比科尔地区,强降雨带来的洪水和山体滑坡已致2人死亡,4人失踪。 菲民防部门比科尔地区办公室发言人格雷米尔·纳兹(Gremil Naz)称,受洪水和山体滑坡影响,比科尔地区已有超过1200...","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=1103828736,1392428515&fm=217&app=92&size=f242,162&n=0&g=0n&f=JPEG?s=22915CC98053F5CC54B940BC0300D013&sec=1618986671&t=289faede3d8f71c6d88033effc1f3da5","菲律宾比科尔地区发生洪水和山体滑坡 已致2人死亡4人失踪","https://news.dayoo.com/world/202101/02/139998_53737909.htm"
"红网","2020年12月15日","“2020年湖南省铁路路地协同联动机制应急演练”活动在郴州苏仙区资许线桥口站举行。演练模拟山体滑坡铁轨被埋,列车紧急制动后因发电机油管破裂,引起发电车起火。现场,多家单位联动展开救援。市消防救援支队调集就近的5个消防救援站赶赴现场...","https://dss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=1010483321,1447403627&fm=173&app=49&size=f242,162&n=0&g=0n&f=JPEG?s=EDF866D9D64542FE62B8E432030060D3&sec=1618986671&t=b1e935b0a9146c876cec39e259d6ad59","保铁路安全,湖南举行路地协同应急“大练兵”","https://baijiahao.baidu.com/s?id=1686150647413111193&wfr=spider&for=pc"
"广州日报","2020年11月10日","记者了解到,11月10日,肇庆四会市石狗村庵江组滑坡地质灾害治理工程完成整体竣工验收,治理了滑坡山体,改善了生态环境,重点保护了该村138名群众的生命和财产安全,消除了地质灾害隐患带来的潜在经济损失约650万元,解决了长期困扰当地村民的...","https://cambrian-images.cdn.bcebos.com/5242633ac0491ede9e92dbdab955042c_1574612761312138.jpeg@w_100,h_100","30年来的滑坡困扰得到解决!他们打通了地灾治理的最后一公里","https://baijiahao.baidu.com/s?id=1683001756709103532&wfr=spider&for=pc"
"大洋网","2020年10月18日","新华社河内10月18日电 据越通社报道,当地时间18日凌晨,越南中部广治省向华县山区一个军队驻地发生暴雨引发的山体滑坡事故,导致22名军人被埋。截至目前已找到3具遗体。 消息说,救援人员当天上午已打通前往事故现场的道路,正在搜救其余19名...","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=1946541550,1365773034&fm=217&app=92&size=f242,162&n=0&g=0n&f=JPEG?s=C07185744DD06FE95340F2D60300A0B7&sec=1618986671&t=d0354f521fdbf059e1128dc6efb3401e","越南中部发生山体滑坡22名军人被埋","https://news.dayoo.com/world/202010/18/139998_53610070.htm"
"大洋网","2020年10月17日","10月17日上午,因连日降雨,四川宣汉县北部山区漆树乡发生大面积山体滑坡,造成民房被埋。 灾害发生后,当地乡政府立即赶赴现场开展救援工作。同时,宣汉县委县政府立即组织应急管理局、当地消防人员赶赴现场救援。目前,现场已经挖掘出4人,但是...","https://dss2.bdstatic.com/6Ot1bjeh1BF3odCf/it/u=3426137380,497368873&fm=217&app=92&size=f242,162&n=0&g=0n&f=JPEG?s=B3A2E4A156B393C25C91C51D030010C3&sec=1618986671&t=1a463b2664c86f894390f4f9bfc5e3d2","四川宣汉发生大面积山体滑坡,致4人遇难1人失联","https://news.dayoo.com/gzrbrmt/202010/17/158562_53609602.htm"
"中国天气网","2020年10月13日","气象部门提醒,台风逼近,海上过往船只、出港渔船和海上作业人员应迅速回港避风。 此外,台风带来的强降水易引发城乡积涝、山洪、泥石流、山体滑坡等灾害,当地公众也需提前做好各项防台防险措施。","https://dss0.bdstatic.com/6Ox1bjeh1BF3odCf/it/u=3442128097,773788185&fm=173&app=49&size=f242,162&n=0&g=0n&f=JPEG?s=16029641C69B246D3029BCC30100E0D1&sec=1618986671&t=2f4da64c4f376b3de6f51c24dd448f72","台风“浪卡”傍晚或登陆海南 广东粤西等地或有大暴雨侵袭","https://baijiahao.baidu.com/s?id=1680327753039896256&wfr=spider&for=pc"
