,名词,词频
447,野外,3
2388,目击者,3
1944,救治,3
2247, 地震,3
730,瑶族,3
2477,园区,3
34,汇报 ,3
69,山火,3
2016,联播,3
700,行车,3
401, 耕地,3
572,高科,3
571,储充,3
400,修复,3
705,等级,3
2024,海外网,3
75,北部,3
82,天空,3
712,教授,3
2000, 交通,3
579,通报,3
2028,首府,3
412,全力,3
681,监测员,3
414,地震局,3
719,排查 ,3
1993,崩塌 ,3
2049,运载,3
419,事项,3
465,北,3
3367,行星,3
372,隐患 ,3
2159,探索,3
644,防护,3
111,危险,3
2113,城镇,3
7,危险区,3
766,专业,3
2504,方向,3
2271,汛情 ,3
511, OPPO,3
2149,高度,3
773,会商会,3
490,下面,3
437,智能,3
3492,保密局,3
113,建房,3
3336,下界,3
614,反应 ,3
1895,无人机,3
498,洪 ,3
2124,提案,3
2123,委员,3
2291,台风 ,3
2122,政协,3
1929,医疗,3
2150,课题,3
2013,公路,3
1936,伤者,3
1934,副总统,3
1935,遇难者,3
3221,统计局,3
2264,洪涝 ,3
2267,自然灾,3
57,河段,3
3329,灶,3
1939,卫生部,3
206,监控,2
1362,南部,2
2362,甲板,2
2360,煤炭,2
1416,防线,2
2139, W ,2
2138, S ,2
1454,背后,2
2823,真相,2
2378,发动机,2
45,江段,2
52,点 ,2
2133, 震级,2
2833,卡车,2
2379,燃烧 ,2
2183,股份,2
2853,断裂 ,2
2186,通讯社,2
1351,放假,2
1358,大雨,2
2167,失败,2
2140,震级,2
2171,早些时候,2
2876,重大,2
1387,季节,2
2364,右侧,2
2369,降落,2
1386,希望,2
2872,民生 ,2
2170,着陆台,2
2845,科研,2
2368,机,2
2370,火 ,2
2854,脚轮,2
2363,船员,2
53,专人,2
2172,发射,2
1411,气象台,2
2156,塌陷,2
1374,边坡点,2
2173,尝试,2
2353,777 200,2
2852,底座,2
1367,供电局,2
204,对象,2
1366,电网,2
1889,抗灾署,2
2899,制度 ,2
2261,办 ,2
2975,主席,2
2964,维修 ,2
2963,库门,2
1251,场所,2
2263,防,2
2954,港口区,2
2309,纲要,2
2952,冲击波,2
2258,寒潮,2
1276, 钟,2
234,浓烟 ,2
2250,储备局,2
1267,新闻办,2
2246, 事故,2
228,美食城,2
1272,风 ,2
1273,沙尘 ,2
1274,大雾,2
1229,地段,2
2976,世界上,2
2981,可能,2
